"Label","Type","Event","Primary Topic Tag","Secondary Topic Tag","Repository","Google Doc Id","Url","Title","Abstract"
"Decentralized Authentication with Blockchain Auth","Topic Paper","rwot1","Unclassified",,"https://drive.google.com/open?id=1hsO-JHrwPdF8JxNEFj_D2OmPCA1xNx9w","1hsO-JHrwPdF8JxNEFj_D2OmPCA1xNx9w","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/Decentralized-Authentication-with-Blockchain-Auth.md","Decentralized Authentication with Blockchain Auth",
"Decentralized Cooperation needs Decentralized Reputation","Topic Paper","rwot1","Unclassified",,"https://drive.google.com/open?id=1lHnmiNb7xHMf1a4HtyrAkPi00yOmIdCO","1lHnmiNb7xHMf1a4HtyrAkPi00yOmIdCO","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/DecentralizedCooperationNeedsDecentralizedReputation.md","Decentralized Cooperation needs Decentralized Reputation","We are in the midst of a techno-cultural trend that re-envisions ownership, protocols of trust, organizational decision making, and ecosystems of work. This zeitgeist can broadly be called decentralized collaboration. In the United States, organizations are atomizing into flexible services and autonomous, purpose-driven small businesses. Deloitte reports the ecosystems of value creation that are emerging create both competitive and collaborative advantage. Several forces are driving this change. Freelance work represents a significant driver. Today, freelancers and gig workers make up 34% of the US work force. In keeping with these trends, Intuit and MBO Partners optimistically predict that by 2020 freelancers will represent 43-50% of the work force. Although these numbers may be inflated, there is strong evidence that autonomous work forces are expanding. Organizational functions are unbundling to empower this atomized economy of freelancers and worker hives. Small ventures are freed to focus on core value by leveraging services like Zen Payroll, Zen99, and Zenefits for accounting; Clerky for legal support; gig work through Lyft, Uber, and Thumbtack; WeWork and Impact Hub for co-working. Crowd funding has reached mainstream participation through Kickstarter, Angel List, Mosaic Solar Financing, and Crowdfunder."
"Different Models for Trust","Topic Paper","rwot1","Unclassified",,"https://drive.google.com/open?id=1EKRXmHDn9fkQwvtduTw89vMOCNLtGoSD","1EKRXmHDn9fkQwvtduTw89vMOCNLtGoSD","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/different-models-for-trust.md","Different Models for Trust","During the conversations surrounding NSTIC (the National Strategy for Trusted Identities in Cyberspace) the phrase \"Trust Framework\" came into my lexicon. I did what I do with all technical discussions I participate actively in - I worked hard to figure out on a deep level what was actually meant by this phrase - what is it? how do trust framworks function? And from there I returned to my center of attention: What are the implications for end-users? The phrase \"Trust Frameworks\" seems particularly pervasive and not yet defined well. After struggling for several months it became clear to me… that it is a technology/policy(legal) sandwich that is used to allow large complex networks/multi-party systems to function. In the identity world this was called a Federation."
"Distributed multi-ledger model for financial industry","Topic Paper","rwot1","Unclassified",,"https://drive.google.com/open?id=1RhVS_qoROVZxXZZNMXRB_xypMP8vt1UG","1RhVS_qoROVZxXZZNMXRB_xypMP8vt1UG","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/DistributedMulti-ledgerModelForFinancialIndustry.md","Distributed multi-ledger model for financial industry","There are a few problems that financial institutions have while applying blockchain ideas to their needs, such as limited scalability, trust needed to (semi-)anonymous validators, low speed of transaction settlement, limited privacy of trading positions, absence of AML and KYC mechanisms. All this issues are consequences of the trustless nature of existing blockchain implementations such as Bitcoin, Ethereum and (partially) Ripple that work under the assumption that there should not be a central party that controls the system. This implies the presence of a single blockchain/ledger and global consensus over it. While we fully agree on the need for decentralized financial infrastructure, we believe that techniques that are used in Bitcoin etc are not directly applicable to it. Ideas and mechanisms that are described in this paper are rather simple - 1) each entity has its own ledger(s) that contains its transactions and balances 2) there is no global shared ledger at all 3) there is no global consensus 4) there are no designated validators - financial institutions (gateways and other trusted parties) are validators. To simplify things you can imagine the existing state of the things when each business and individual has its own financial ledger and they are updated individually and then apply the blockchain data structure, cryptographic techniques and a standard set of communication protocols to it. Basically we are describing the financial internet."
"Distributed Receptor-Based Computing","Topic Paper","rwot1","Unclassified",,"https://drive.google.com/open?id=1nEG2RzA4uNxGc-_4mFUB5-1_dTu_S9YA","1nEG2RzA4uNxGc-_4mFUB5-1_dTu_S9YA","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/Distributed_Receptor-Based_Computing.md","Distributed Receptor-Based Computing","The MetaCurrency Project’s requirements for decentralization combined with a commitment to leveraging organizing principles of living systems led us to invest a lot of time in the past 5 years developing Ceptr. Ceptr is a rebuild of much of the computing stack optimized for decentralized sense-making, computation and composability. This means semantics baked into the lowest levels of memory storage, self-describing protocols which let anything talk with anything else, blockchain-like abilities for decentralized data storage and computation. Our approach addresses many issues people are tackling in a variety of projects (web of trust, blockchain, semantic web, decentralized applications, federated identity, ease of interoperability, rapid code evolution with massive reuse, mesh networks, etc.) through a unified approach. We know providing such a different approach creates barriers to adoption and understanding, but we also know that applications in Ceptr will be able to be developed faster, easier and should significantly outperform projects which have been cobbled together from more traditional tools."
"Distributed Trust Systems and the Kenyesian Beauty Contest","Topic Paper","rwot1","Unclassified",,"https://drive.google.com/open?id=18kgn6zfDElCj8Bpk5DgfHbzbs-ssRixQ","18kgn6zfDElCj8Bpk5DgfHbzbs-ssRixQ","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/Distributed-Trust-Systems-and-the-Kenyesian-Beauty-Contest.md","Distributed Trust Systems and the Kenyesian Beauty Contest","How distributed trust systems can solve the Kenysian beauty problem and create a more efficient startup ecosystem. One of the most persistent in modern market systems is the Kenysian beauty contest. In short, when asked to pick the most beautiful person, the most profitable and efficient strategy is to predict what other people will predict, not attempt to converge on what is actually the most beautiful. Modern market systems inevitably follow this trajectory. A distributed trust ledger may follow a different logic than a market and create other tracks complementary to it. Numerous \"social web\" systems in which karma or other points are accumulated show divergent logics. Example services are Amazon reviews, Wikipedia articles, Facebook likes, Facebook friends, Twitter followers, Instagram likes, and aggregation services like Klout. In many cases, there is a very significant divergence between people who have some sort of accumulated social capital via their contributions and financial capital."
"First Encounters with PGP","Topic Paper","rwot1","Unclassified",,"https://drive.google.com/open?id=1c0MhKMDieKkTDGIvw_6_65JmkLm5NJER","1c0MhKMDieKkTDGIvw_6_65JmkLm5NJER","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/FirstEncountersWithPGP.md","First Encounters with PGP","The first time I came across PGP, I was reading a blog post on the topic of identity with bitcoin public keys. The ideas discussed in the post compelted me to the point of searching around for the writers contact info. But instead of the typical name and email address I expected, all I found was a pseudonym and PGP fingerprint. I could figure this out I thought. That morning at the local breakfast spot I was talking to my friends about my encryption plans for the day. When the man sitting next to me at the restaurant overheard. A fellow PGP user, on his way to a python convention. He gave me his business card and said that if I ever figured out PGP I should try to send him an encrypted message."
"Hierarchical Deterministic Keys: BIP32 & Beyond","Topic Paper","rwot1","Unclassified",,"https://drive.google.com/open?id=1D7cqmwxZ2RHpf4GtIgNPLLHcORwHs7ba","1D7cqmwxZ2RHpf4GtIgNPLLHcORwHs7ba","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/hierarchical-deterministic-keys--bip32-and-beyond.md","Hierarchical Deterministic Keys: BIP32 & Beyond","When Bitcoin debuted it revealed one characteristic that was very different from the world of traditional PKI: a proliferation of keys. As used in PGP, in X.509 certificates used by TLS, and in other protocols, the number of private keys are few and they they do not expire for many years. Instead, to maximize privacy Bitcoin rapidly cycles through keys, discarding old keys from past transactions as soon as the public key is revealed and the coins are spent. Since each address is hashed from a public key, this means that a Bitcoin user needs to deal with a large lot of keypairs. The traditional answer for this problem has been wallets — which collect and manage keys so that users don’t have to. The earliest Bitcoin wallets still faced challenges. That’s because the Bitcoin Core and early clients generated each key randomly. Unfortunately, this methodology requires careful (and constant) backups to ensure continued access to all funds. It also opens some privacy loopholes; because new key generation wasn’t trivial, single keys were often reused when they shouldn\"t have been. Transactions could be correlated if they used the same address (and thus keypair) for change, requiring even more keys."
"Identity, Guidance and Situational Awareness","Topic Paper","rwot1","Unclassified",,"https://drive.google.com/open?id=1i1uBuIbPb4Yf-rr1250SypBoEJ_cP3hf","1i1uBuIbPb4Yf-rr1250SypBoEJ_cP3hf","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/Identity_Guidance_and_Situational_Awareness.md","Identity, Guidance and Situational Awareness","Situational awareness is developed by layer of pattern recognition upon layer of pattern recognition. This can be gained from three sources: direct experience, indirect experience and contemplation."
"Key revocation of lost and stolen keys","Topic Paper","rwot1","Unclassified","Key | Revocation","https://drive.google.com/open?id=1f06VZfQI4RrPgKbOkAaQLwrfqLwROT14","1f06VZfQI4RrPgKbOkAaQLwrfqLwROT14","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/Key-revokation-of-lost-and-stolen-keys.md","Key revocation of lost and stolen keys","If we usually speak about key revocation we have compromised keys in mind. Compromised means that an unauthorized third party has or even just might have access to a key. For professional entities it is a reasonable assumption that this is worst that can happen. However, a web of trust solutions that aims for broader use of average users has to deal with two even more problematic scenarios: lost and stolen keys. In both cases does the original owner do not have any longer access, while in the second case the key is additionally compromised."
"Key Transparency for End Users","Topic Paper","rwot1","Unclassified","Key | Revocation","https://drive.google.com/open?id=14-NXezR281J6wSw8USoe7OOMkMuFVGR2","14-NXezR281J6wSw8USoe7OOMkMuFVGR2","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/key-transparency-for-end-users.md","Key Transparency for End Users","We present CONIKS, an end-user key verification service capable of integration in end-to-end encrypted communication systems. CONIKS builds on transparency log proposals for web server certificates but solves several new challenges specific to key verification for end users. CONIKS obviates the need for global third-party monitors and enables users to efficiently monitor their own key bindings for consistency, downloading less than 20 kB per day to do so even for a provider with billions of users. CONIKS users and providers can collectively audit providers for non-equivocation, and this requires downloading a constant 2.5 kB per provider per day. Additionally, CONIKS preserves the level of privacy offered by today’s major communication services, hiding the list of usernames present and even allowing providers to conceal the total number of users in the system."
"Knowing When Your Digital Identity Has Been Compromised","Topic Paper","rwot1","Unclassified",,"https://drive.google.com/open?id=1xHi8jRFArYC2Lkb8nBQzXVpGJxYEzF-p","1xHi8jRFArYC2Lkb8nBQzXVpGJxYEzF-p","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/knowing-when-your-identity-has-been-compromised.md","Knowing When Your Digital Identity Has Been Compromised","When using Web of Trust systems, it is critical to: Ensure that you know who you can trust as \"introducers\", Ensure that your identity and reputation are not being falsely used to create trust of others."
"Lightning Network and Web of Trust","Topic Paper","rwot1","Unclassified",,"https://drive.google.com/open?id=1KhSgw8rajRVE43z2Sgv_cx1YG9VTFHFJ","1KhSgw8rajRVE43z2Sgv_cx1YG9VTFHFJ","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/lightning-network-and-web-of-trust.md","Lightning Network and Web of Trust","The Bitcoin Lightning Network is a smart contract technology using Bitcoin payment channels which allows for scalable high-volume micropayments without delegating full custody of funds to trusted third parties. Bitcoin allows anyone to send value without a trusted depository or custodian. However, due to limitations to block confirmation, transactions require up to one hour. Additionally, individual micropayments below several cents are not worthwhile on the Bitcoin blockchain as the on-blockchain transaction fees are several cents. Lightning Network conducts net settlement of funds between two participants which allows one to conduct an unlimited amount of transactions off-blockchain, but eventually settling the transactions on-chain.  The Lightning Network does not require cooperation from the counterparty to exit the channel. Both parties have the option to unilaterally close the channel, ending their relationship. Since all parties have multiple multisignature channels with many diferent users on this network, one can send a payment to any other party across this network."
"Linked Local Names: An Overview","Topic Paper","rwot1","Unclassified",,"https://drive.google.com/open?id=1cuItP1yewWP_Gw5DHki2kf2N6xfyeEb2","1cuItP1yewWP_Gw5DHki2kf2N6xfyeEb2","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/linked-local-names.md","Linked Local Names: An Overview","How do you identify someone online? Traditionally, the answer has been to use a centralized naming system. Trusted authorities act as the root of a global name space that connects names with public keys to certify who people are. Unfortunately, this classic setup has problems. The earliest complaints focused on the 1988 x.509 standard and said that it was overly complex and overly formal. However, as the internet grew, people soon realized that there was a bigger problem: in a global name space, names quickly failed as a means of unique identity. If someone is verified by a certificate authority (CA) as Christopher Allen, who are they, really? Is it the psychic medium? The UCSF assistant professor? The security technologist? A traditional certificate can’t tell you. CA-based systems also require validation and revocation which recent SSL attacks like HeartBleed have proven have not adequately deployed or scaled to meet security requirements. Other aspects in the centrality of architecture in CA-based systems have also made them vulnerable to new forms of attacks."
"Modern PKI: Identity Assertions Forming Trust Networks","Topic Paper","rwot1","Unclassified",,"https://drive.google.com/open?id=1vniL1TLvV9pj-L8Yz_d8_gKkVxLDmBQv","1vniL1TLvV9pj-L8Yz_d8_gKkVxLDmBQv","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/modern-pki-identity-assertions.md","Modern PKI: Identity Assertions Forming Trust Networks","Current public key infrastructure for personal communication is limited, hard to use, and harder to use correctly. User adoption is very low, even in relation to the userbase already using OpenPGP-based software for communication. A PKI can and must be created which does not require expert-level knowledge of public-key encryption to use properly. A PKI\"s job is to store and retrieve public keys and their respective global identity bindings: identifiers of personal location or accounts controlled by the key\"s owner and associated with that key. The key is queried via a bound identity attribute (e.g. email address), and the PKI will also return all certificates asserting the validity of these identity bindings."
"PKI Tools in EVM-based Blockchains","Topic Paper","rwot1","Unclassified",,"https://drive.google.com/open?id=18DMfUgarC_GhfDah17ph0aksQqnH7dDz","18DMfUgarC_GhfDah17ph0aksQqnH7dDz","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/pki_tools_in_evm_blockchains.md","PKI Tools in EVM-based Blockchains","A blockchain can provide a good foundation for a PKI since it acts as a distributed well-publicized ledger whose integrity can be validated through the proof-of-work mechanism. A blockchain with a fully featured virtual machine such as Ethereum (with its Ethereum VM or EVM) or the recent Bitcoin sidechain project Rootstock (also EVM-based) provides a rich scripting language with which to build tools that can be used in a PKI. A blockchain with such a virtual machine allows the user to send transactions creating blockchain-native programs, sometimes called \"smart contracts\" or simply \"contracts\". These programs have an associated address and expose API functions which can be called by sending a transaction to the address with a data message containing the signature of the function along with its parameters. The programs are run by miners and they have associated storage and/or funds (Ether in the case of the Ethereum blockchain) which is updated upon contract execution."
"Progressive Trust","Topic Paper","rwot1","Unclassified","Trust","https://drive.google.com/open?id=1yiBW7vRJSoBKq6VAufagIlw1yLNElow2","1yiBW7vRJSoBKq6VAufagIlw1yLNElow2","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/progressive-trust.md","Progressive Trust","Originally published 2004-08-16 at http://www.lifewithalacrity.com/2004/08/progressive_tru.html with minor edits and a technical and historical updates in 2015. I believe that as we evolve social software to better serve our needs and the needs of the groups that we are involved in, we need to figure out how to apply an understanding of how human groups behave and work. One useful concept I use I call \"Progressive Trust\". The basic idea is to model how trust works in the real world, between real people, rather then solely relying on mathematical or cryptographic trust. This is how I typically explain progressive trust when I meet someone in-person at a conference: You are now spending your most precious resource, your most unrenewable commodity -- time, in order to listen and understand what I have to say. Why do you do so? Because by the act of us being here in this common space, at this conference, you have found a very simple credential from me -- that I\"m willing to spend time here in a place that you are interested in as well. In turn, I\"m willing to spend more time chatting with you for the same reason."
"Real life application of WoT","Topic Paper","rwot1","Unclassified",,"https://drive.google.com/open?id=1UiAmVR9g2DYqJnww004p2Atyu4OCbaOY","1UiAmVR9g2DYqJnww004p2Atyu4OCbaOY","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/refugee-use-case.md","Real life application of WoT: Refugee Use Case","One child lay lifeless on a beach because his family could not verify their refugee status. Their hometown in Syrian was under bombardment, being slowly overrun by ISIS forces. They had relatives to sponsor them in the West, with funds and a willingness to take them in, but they lacked the crucial documentation proving their refugee status. Desperate to settle and find normalcy, the boy’s father loaded his family into a boat to seek other options. The boat sank. And the boy, his mother and brother were dead, because his family lacked the documentation to prove who they were and what they had endured."
"Rebooting-the-web-of-trust Identity, Property and Simulation","Topic Paper","rwot1","Unclassified",,"https://drive.google.com/open?id=15qKgFq88_K-Ptz30BqWBv63N2F6ldLjN","15qKgFq88_K-Ptz30BqWBv63N2F6ldLjN","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/Identity-Property-Simulation.md","rebooting-the-web-of-trust Identity, Property and Simulation","Today we are faced with an unprecidented opportunity to reshape the manner in which we engage with resources represented on the world wide web. At the center of this shift is how we account for trust. In order to unlock the potential of P2P and decentralized transactions taking place between entities, a relational matrix must be constructed. That is, a web of trust to empower digital entities to seamlessly and at low cost/low friction- transact with each other in a regime that can secure the interests of all parties. In other words, the next great internet revolution will take place once we can simultaneously interact with existing systems and their legally binding constructions and a new fabric for Identity and digital assets powered by algorithmic governance."
"Schnorr Signatures: An Overview","Topic Paper","rwot1","Unclassified",,"https://drive.google.com/open?id=1kHf0Oj70WMHTXwJF2fnL8mxHs0o2efho","1kHf0Oj70WMHTXwJF2fnL8mxHs0o2efho","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/Schnorr-Signatures--An-Overview.md","Schnorr Signatures: An Overview","Digital signatures have been around since Whitfield Diffie and Martin Hellman first described them in 1976. Early implementations based on the prime-number based RSA algorithm were dominant in the ‘90s. In recent years discrete logarithm and elliptic curve approaches have become more popular because they allow for improved computational efficiency and smaller key size without diminishing security. In the discrete logarithm space, ElGamal-based signature schemes have been the most deployed — thanks in large part to the National Institute of Standards and Technology (NIST) releasing their patented DSA under a royalty-free license when implementing the FIPS 186 standard in \"93. Even Bitcoin has adopted a variant of DSA: the elliptic-curve based ECDSA, which uses the secp256k1 elliptic curve."
"Secret Handshake : Key Exchange as a Capability System","Topic Paper","rwot1","Unclassified","Key | Exchange","https://drive.google.com/open?id=1DP_6l-UJptLaUlVx9Q7Yve4nkcmyB1ox","1DP_6l-UJptLaUlVx9Q7Yve4nkcmyB1ox","https://github.com/WebOfTrustInfo/rwot1-sf/blob/master/topics-and-advance-readings/key-exchange-as-capability-system.md","Secret Handshake : Key Exchange as a Capability System","Secret Handshake is a key exchange with the properties of a capability system - a conceptual framework for the construction of decentralized access control systems. Capability Systems are an alternative model of operating system security design. Historically, Capability Systems lost out to Access Control Lists (ACL). However, these ideas are due to be reconsidered, because Capability Systems are viable in cryptographic decentralized systems, but ACLs are not. Security systems are about granting and denying access to resources. In the physical world, we can observe a variety of approaches to security that are analogous to both ACLs and Capability Systems. For example, a your car has registration papers, which are like an access control list. These are probably administered by an organization which is administered by your government. Centralized Authority all the way up. If you cannot prove that you own or otherwise have the right to be driving a given car you may be arrested for possession of a stolen vehicle. On the other hand, the car key is analogous to a capability. If you possess the keys to the car, you can start it and drive away. If you give the keys to another driver then they have the same capability to access the car that you do."
